,BibNumber,Category Group,checkout_date,checkout_month
5508818,2793048,Fiction,2016-03-26,3
1584228,2712987,Fiction,2016-07-09,7
5141049,2859216,Fiction,2016-08-24,8
3775456,3155295,Fiction,2016-07-26,7
5807533,2441410,Fiction,2016-04-23,4
3672838,3098904,Fiction,2016-11-19,11
3612043,3146293,Fiction,2016-04-04,4
2308897,2223586,Nonfiction,2016-02-02,2
4205004,3117917,Fiction,2016-10-17,10
3806122,3133128,Fiction,2016-11-09,11
3815929,3173442,Fiction,2016-11-26,11
4360451,2703422,Fiction,2016-09-28,9
2305529,2916106,Nonfiction,2016-01-29,1
4724668,3173311,Nonfiction,2016-04-10,4
2422914,2608072,Nonfiction,2016-08-29,8
1148808,2754646,Fiction,2016-06-11,6
5042848,3182473,Fiction,2016-09-19,9
1471878,2652566,Nonfiction,2016-08-11,8
5490023,2928038,Fiction,2016-07-11,7
5029278,3144384,Fiction,2016-06-18,6
2576608,3144558,Nonfiction,2016-11-10,11
3735947,3092975,Fiction,2016-10-27,10
3515559,3171667,Fiction,2016-06-28,6
1291494,2969116,Nonfiction,2016-11-07,11
6103603,3123804,Fiction,2016-07-18,7
4314387,2617596,Fiction,2016-05-07,5
4421451,3180267,Fiction,2016-07-06,7
4462112,2720202,Fiction,2016-09-10,9
2559191,3065720,Nonfiction,2016-10-22,10
5292687,3122641,Fiction,2016-10-02,10
2424050,2908392,Nonfiction,2016-03-26,3
3711400,3086627,Fiction,2016-11-23,11
5214428,2938318,Fiction,2016-12-05,12
5260420,3086463,Fiction,2016-06-14,6
4998306,3180932,Fiction,2016-07-31,7
2755641,3054434,Nonfiction,2016-12-13,12
2703146,3024881,Nonfiction,2016-11-16,11
4288257,3131105,Fiction,2016-03-10,3
4502577,2708902,Fiction,2016-02-10,2
2349362,2795126,Nonfiction,2016-03-10,3
2125097,2794964,Fiction,2016-08-15,8
1473807,260980,Nonfiction,2016-06-04,6
4372826,2988681,Fiction,2016-09-23,9
1242719,2926427,Nonfiction,2016-03-11,3
4469001,2969669,Fiction,2016-04-30,4
2589331,2388099,Nonfiction,2016-08-29,8
5441351,3044737,Nonfiction,2016-08-30,8
5773015,2408837,Fiction,2016-08-22,8
3697015,2656777,Fiction,2016-02-28,2
5768143,2968642,Fiction,2016-03-18,3
6107587,2763102,Fiction,2016-03-15,3
5770195,3190854,Fiction,2016-06-16,6
4768776,2463147,Nonfiction,2016-01-16,1
6225428,3216584,Fiction,2016-11-27,11
5222048,3148911,Fiction,2016-01-19,1
6224534,3216105,Fiction,2016-12-07,12
3634459,3143248,Fiction,2016-10-10,10
1544403,2990049,Fiction,2016-09-11,9
2350387,3078333,Nonfiction,2016-03-31,3
5895457,2862710,Fiction,2016-07-03,7
2368665,3027586,Nonfiction,2016-10-13,10
1504231,2616591,Nonfiction,2016-02-06,2
2486966,3123627,Nonfiction,2016-05-25,5
2640695,3111384,Nonfiction,2016-02-05,2
4762450,3102519,Nonfiction,2016-06-10,6
5906878,3014870,Fiction,2016-05-04,5
4517411,2742049,Fiction,2016-11-20,11
3837813,3171398,Fiction,2016-08-09,8
5588146,3086806,Fiction,2016-10-16,10
1375768,3098426,Nonfiction,2016-03-11,3
